%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663722041154217059,0.0,0.0,0.0,0.0,0.0,0.0
1663722041174330052,0.0,0.0,0.0,0.0,0.0,0.0
1663722041194457629,0.0,0.0,0.0,0.0,0.0,0.0
1663722041214684932,0.0,0.0,0.0,0.0,0.0,0.0
1663722041234879514,0.0,0.0,0.0,0.0,0.0,0.0
1663722041255002975,0.0,0.0,0.0,0.0,0.0,0.0
1663722041275227457,0.0,0.0,0.0,0.0,0.0,0.0
1663722041295400031,0.0,0.0,0.0,0.0,0.0,0.0
1663722041315774005,0.0,0.0,0.0,0.0,0.0,0.0
1663722041335921001,0.0,0.0,0.0,0.0,0.0,0.0
1663722041356975113,0.0,0.0,0.0,0.0,0.0,0.0
1663722041377050489,0.0,0.0,0.0,0.0,0.0,0.0
1663722041397773849,0.0,0.0,0.0,0.0,0.0,0.0
1663722041417875061,0.0,0.0,0.0,0.0,0.0,0.0
1663722041438080235,0.0,0.0,0.0,0.0,0.0,0.0
1663722041458224091,0.0,0.0,0.0,0.0,0.0,0.0
1663722041478391777,0.0,0.0,0.0,0.0,0.0,0.0
1663722041498583623,0.0,0.0,0.0,0.0,0.0,0.0
1663722041518805867,0.0,0.0,0.0,0.0,0.0,0.0
1663722041538869829,0.0,0.0,0.0,0.0,0.0,0.0
1663722041559213621,0.0,0.0,0.0,0.0,0.0,0.0
1663722041566572588,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041586799355,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041606929454,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041627190152,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041647311999,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041667545624,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041687726319,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041707926931,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041728179089,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041748595245,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041768549448,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041791173988,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041811562610,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041834327783,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041854542434,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041876642050,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041896748868,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041920721177,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041940950472,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041961253852,-0.5,0.0,0.0,0.0,0.0,0.0
1663722041981497668,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042001751745,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042022011705,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042042153001,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042062440519,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042082799247,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042102955530,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042123305601,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042143618806,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042163940063,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042184090005,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042204419622,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042224533163,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042244814456,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042265020053,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042285161919,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042305299220,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042325473414,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042345667005,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042365968990,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042386227584,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042406390143,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042426685315,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042446978787,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042468665474,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042488934812,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042509165108,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042529401061,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042549555715,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042569739002,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042589965047,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042610121328,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042630384069,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042650612799,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042670709554,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042690929354,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042711153321,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042733727193,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042753959436,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042774256592,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042794371012,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042814774190,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042834792333,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042855009023,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042875187990,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042895430944,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042915599166,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042935814040,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042956021764,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042976443349,-0.5,0.0,0.0,0.0,0.0,0.0
1663722042996524266,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043016963670,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043037336101,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043057156509,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043077505647,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043097697907,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043117871279,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043138004342,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043158226544,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043178378355,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043198608313,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043218776949,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043238952652,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043259146757,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043279270461,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043301770095,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043322086868,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043345276128,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043365437184,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043385821117,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043406034816,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043426260375,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043446419865,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043466678841,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043486825512,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043508880711,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043529047820,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043549308922,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043569524806,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043589772475,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043609900235,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043630099290,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043650298639,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043670485496,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043690635094,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043710869813,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043731009933,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043751421565,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043771655006,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043792052565,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043812362867,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043832618669,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043852922286,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043872903344,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043893109253,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043913284733,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043933644312,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043953798710,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043974038074,-0.5,0.0,0.0,0.0,0.0,0.0
1663722043994240938,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044014354368,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044034626948,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044054768447,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044074959170,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044095146672,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044115345815,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044135541122,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044155757226,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044176028722,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044196380152,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044216877092,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044237249298,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044257497191,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044277851504,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044298057824,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044319866286,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044340086007,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044360468040,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044380455598,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044400716922,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044420937994,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044441095211,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044461286133,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044481529446,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044501669957,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044521914177,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044542093513,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044562251036,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044582631410,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044602889433,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044623171322,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044643331486,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044663726440,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044683919130,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044704042227,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044724342280,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044744618712,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044764779999,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044784943008,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044805137475,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044825280606,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044845462596,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044865742373,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044885903570,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044906200052,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044926377284,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044946766147,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044966836623,-0.5,0.0,0.0,0.0,0.0,0.0
1663722044987033407,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045007213020,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045027362438,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045047617936,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045067811266,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045087924581,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045108241136,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045128372428,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045148652286,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045168959301,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045189095894,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045211898925,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045232035480,-0.5,0.0,0.0,0.0,0.0,0.0
1663722045252381353,-0.5,0.0,0.0,0.0,0.0,0.0
